quarter_year,survival,ci_lb,ci_ub,sex,dep,region,route,stage_cat,agegrp,diagnosisyear
4.75,.54000002,.52999997,.55000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.52999997,.51999998,.54000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.93000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88,.88,.88999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.83999997,.82999998,.85000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.81,.80000001,.81999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.77999997,.76999998,.79000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.75,.74000001,.75999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.73000002,.72000003,.74000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.70999998,.69999999,.72000003,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.69,.67000002,.69999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.66000003,.64999998,.67000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.64999998,.63999999,.66000003,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.63,.62,.63999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.62,.61000001,.63,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.58999997,.62,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.57999998,.60000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.57999998,.56,.58999997,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.56999999,.55000001,.57999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.55000001,.54000002,.56,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.54000002,.52999997,.55000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.52999997,.51999998,.54000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.91000003,.89999998,.92000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.86000001,.85000002,.88,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81999999,.80000001,.83999997,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.77999997,.75999999,.80000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.75,.73000002,.76999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.73000002,.70999998,.75,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.70999998,.69,.73000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.69,.67000002,.70999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.68000001,.64999998,.69999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.66000003,.63999999,.68000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.63,.61000001,.66000003,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.62,.58999997,.63999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.60000002,.56999999,.62,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.57999998,.56,.61000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.56999999,.54000002,.58999997,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.56,.52999997,.57999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.54000002,.51999998,.56999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.52999997,.50999999,.56,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.52999997,.5,.55000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.50999999,.47999999,.54000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.25,.91000003,.89999998,.92000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.5,.86000001,.85000002,.88,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81,.80000001,.81999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1,.76999998,.75999999,.79000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.74000001,.73000002,.75999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.72000003,.69999999,.73000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.69,.68000001,.70999998,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2,.67000002,.66000003,.69,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.66000003,.63999999,.67000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.63,.62,.64999998,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.61000001,.58999997,.63,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3,.60000002,.57999998,.62,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.58999997,.56999999,.61000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.56999999,.55000001,.58999997,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.55000001,.52999997,.56999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4,.54000002,.51999998,.56,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.52999997,.50999999,.55000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.51999998,.5,.54000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.5,.47999999,.52999997,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
5,.5,.47,.51999998,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.94,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88,.86000001,.88999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.75,.83999997,.81999999,.85000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1,.80000001,.79000002,.81999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.77999997,.75999999,.80000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.75,.73000002,.76999998,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.73000002,.70999998,.75,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2,.70999998,.69,.73000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.68000001,.66000003,.69999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.66000003,.63999999,.68000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.63999999,.62,.66000003,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3,.62,.60000002,.63999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.58999997,.63,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.58999997,.56999999,.62,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.57999998,.56,.60000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4,.56,.54000002,.58999997,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.55000001,.52999997,.56999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.54000002,.50999999,.56,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.52999997,.5,.55000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
5,.50999999,.49000001,.54000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.94,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88999999,.87,.89999998,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.75,.85000002,.82999998,.86000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1,.81,.79000002,.82999998,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.77999997,.76999998,.80000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.75999999,.74000001,.77999997,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.74000001,.72000003,.75999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2,.72000003,.69999999,.74000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.69999999,.68000001,.72000003,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.68000001,.64999998,.69999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.66000003,.63999999,.68000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3,.64999998,.62,.67000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.63,.61000001,.66000003,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.62,.58999997,.63999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.60000002,.57999998,.63,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4,.58999997,.56,.61000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.57999998,.55000001,.60000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.56,.54000002,.58999997,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.52999997,.57999998,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
5,.55000001,.51999998,.56999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.94,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88999999,.87,.89999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.75,.86000001,.83999997,.87,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1,.81,.79000002,.82999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.77999997,.75999999,.80000001,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.75,.73000002,.76999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.73000002,.69999999,.75,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2,.70999998,.68000001,.73000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.69,.67000002,.70999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.67000002,.64999998,.69999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.66000003,.63999999,.68000001,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3,.63999999,.62,.66000003,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.63,.60000002,.64999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.62,.58999997,.63999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.61000001,.57999998,.63,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4,.60000002,.56999999,.62,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.58999997,.56,.61000001,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.57999998,.55000001,.60000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.56999999,.54000002,.58999997,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
5,.55000001,.51999998,.57999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.94999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88999999,.88,.91000003,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.75,.86000001,.85000002,.88,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1,.82999998,.81,.85000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.81,.79000002,.82999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.77999997,.75999999,.80000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.75999999,.74000001,.77999997,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2,.74000001,.72000003,.75999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.70999998,.69,.74000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.69,.67000002,.72000003,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.67000002,.64999998,.69999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3,.66000003,.63,.68000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.63999999,.62,.67000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.63,.60000002,.66000003,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.62,.58999997,.63999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4,.60000002,.57999998,.63,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.58999997,.56,.62,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.57999998,.55000001,.61000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.57999998,.55000001,.61000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
5,.56,.52999997,.60000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.25,.89999998,.88999999,.92000002,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.5,.87,.83999997,.88999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.75,.82999998,.81,.86000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1,.79000002,.76999998,.81999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.25,.76999998,.74000001,.80000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.5,.75,.72000003,.76999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.75,.72000003,.69,.75,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2,.69,.66000003,.72000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.25,.67000002,.63,.69999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.62,.68000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.75,.63,.60000002,.66000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3,.62,.58999997,.66000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.56999999,.63999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.56,.63,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.55000001,.62,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4,.56999999,.54000002,.61000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.25,.56,.51999998,.58999997,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.5,.55000001,.50999999,.57999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.75,.54000002,.5,.57999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
5,.52999997,.49000001,.56,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.25,.93000001,.91000003,.94,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.5,.88,.86000001,.89999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.75,.82999998,.81,.86000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1,.79000002,.75999999,.81,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.25,.75999999,.73000002,.77999997,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.5,.73000002,.70999998,.75999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.75,.70999998,.68000001,.74000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2,.69999999,.67000002,.73000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.25,.67000002,.63999999,.69999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.62,.68000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.75,.62,.58999997,.66000003,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3,.60000002,.56999999,.63999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.25,.58999997,.56,.63,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.5,.57999998,.55000001,.62,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.75,.56,.52999997,.60000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4,.56,.51999998,.58999997,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.25,.54000002,.50999999,.57999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.5,.52999997,.49000001,.56,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.75,.51999998,.49000001,.56,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
5,.51999998,.47999999,.55000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.25,.93000001,.91000003,.94,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.5,.88999999,.87,.89999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.75,.83999997,.81999999,.86000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1,.79000002,.76999998,.81999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.25,.75,.73000002,.77999997,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.5,.73000002,.69999999,.75999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.75,.70999998,.68000001,.74000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2,.69,.66000003,.72000003,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.25,.67000002,.63999999,.69999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.62,.68000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.75,.63,.60000002,.66000003,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3,.61000001,.57999998,.63999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.25,.60000002,.56999999,.63999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.56,.63,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.75,.57999998,.55000001,.62,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4,.56999999,.52999997,.60000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.25,.55000001,.51999998,.57999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.5,.52999997,.49000001,.56,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.75,.50999999,.47,.55000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
5,.5,.47,.54000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.25,.93000001,.91000003,.94999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.5,.87,.83999997,.88999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.75,.81999999,.80000001,.85000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1,.79000002,.75999999,.81999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.25,.75999999,.73000002,.79000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.5,.74000001,.69999999,.76999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.75,.72000003,.68000001,.75,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2,.69999999,.66000003,.73000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.25,.68000001,.64999998,.72000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.5,.66000003,.63,.69999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.75,.64999998,.61000001,.69,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3,.63999999,.60000002,.68000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.25,.62,.57999998,.66000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.5,.62,.57999998,.66000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.75,.60000002,.56,.63999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4,.57999998,.54000002,.62,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.25,.57999998,.54000002,.62,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.5,.56,.51999998,.61000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.50999999,.60000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
5,.55000001,.50999999,.58999997,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.25,.92000002,.91000003,.94,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.5,.88,.87,.89999998,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.75,.83999997,.81999999,.86000001,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
